replay_id,channel,windows_used,candidate_start,candidate_end,candidate_width,max_responsiveness,mean_responsiveness,threshold
16_x,x,3,38,38,1,10878.689319525407,10878.689319525407,10853.707595060265
16_y,y,3,42,42,1,10825.896102868035,10825.896102868035,10356.479634438758
16_z,z,3,46,46,1,11291.408523045562,11291.408523045562,10999.856222437114
16_i,i,3,51,51,1,12841.53121980856,12841.53121980856,11760.131778970263
16_k,k,3,58,58,1,11784.491335445911,11784.491335445911,11101.350783159798
16_left_x,left_x,3,62,62,1,11167.003802745181,11167.003802745181,10532.124878878945
16_left_y,left_y,3,66,66,1,11328.65400790215,11328.65400790215,10946.678115977564
16_left_z,left_z,3,72,72,1,12080.687305735968,12080.687305735968,11545.687836716528
16_left_i,left_i,3,19,19,1,103.34085855483403,103.34085855483403,79.32420221258744
16_left_j,left_j,3,75,75,1,11504.406051339125,11504.406051339125,10930.307827046383
16_left_k,left_k,3,78,78,1,10486.132393097003,10486.132393097003,10397.083109321204
16_left_w,left_w,3,82,82,1,10607.111946904335,10607.111946904335,10462.322376561508
16_right_x,right_x,3,86,86,1,10983.174616130435,10983.174616130435,10532.646659580982
16_right_y,right_y,3,90,90,1,11220.130477997003,11220.130477997003,11104.550624246622
16_right_z,right_z,3,95,95,1,11993.854533508033,11993.854533508033,11957.277241990138
16_right_i,right_i,3,12,12,1,261.46995010404316,261.46995010404316,221.97248828394834
16_right_j,right_j,3,98,98,1,11034.222235728566,11034.222235728566,10978.2593569599
16_right_k,right_k,3,103,103,1,10744.898054028869,10744.898054028869,10537.43864630452
16_right_w,right_w,3,106,106,1,11311.946318088094,11311.946318088094,10760.443970786055
