ip_src,ip_dst,udp_sport,udp_dport,packet_count,duration_sec,packet_rate,most_common_frame_len,most_common_frame_len_count,most_common_payload_len,motion_like_packet_count,preferred_beacon_src,sustained_factor,score
192.168.1.6,192.168.1.14,52428,60376,73745,710.644800901413,103.77195457767174,152,16849,110,19776,192.168.1.6,1.0,1995.8960243966903
192.168.1.14,192.168.1.6,60376,52428,24737,710.627110004425,34.81009892775687,100,21451,58,24377,192.168.1.6,1.0,188.8173230836143
192.168.1.6,224.0.0.251,5353,5353,1204,709.4602510929108,1.6970647730373332,284,409,242,806,192.168.1.6,1.0,17.926903383011645
192.168.1.6,172.253.115.94,61671,443,76,0.10820698738098145,702.3576003684012,1292,68,1250,72,192.168.1.6,0.003606899579366048,14.72236582510914
192.168.1.6,23.12.147.23,65222,443,82,39.13288998603821,2.095424080083425,1292,12,1250,32,192.168.1.6,1.0,7.376905406598136
192.168.1.14,224.0.0.251,5353,5353,1167,709.4300758838654,1.644982415703277,286,411,244,790,192.168.1.6,1.0,4.342332722093164
23.12.147.23,192.168.1.6,443,65222,111,39.1480598449707,2.8353895554356576,1494,45,1452,70,192.168.1.6,1.0,3.642188623876522
23.212.250.12,192.168.1.6,443,60882,71,0.10896587371826172,651.5801468593284,1292,50,1250,63,192.168.1.6,0.003632195790608724,3.1929700265171297
192.168.1.6,23.212.250.12,60882,443,39,0.13140010833740234,296.8034082579128,1292,2,1250,6,192.168.1.6,0.0043800036112467446,1.9602492404635192
23.3.13.32,192.168.1.6,443,61253,44,0.04542183876037598,968.6970233002472,1292,30,1250,39,192.168.1.6,0.0015140612920125326,1.7281983748522358
192.168.1.6,155.133.255.98,61438,27032,10,3.121954917907715,3.20312120544708,142,9,100,10,192.168.1.6,0.10406516393025717,1.538701670598775
192.168.1.6,23.3.13.32,61253,443,26,0.04133009910583496,629.0814820797111,1292,2,1250,5,192.168.1.6,0.0013776699701944987,1.3068328269756797
192.168.1.6,155.133.249.179,61436,27055,8,1.8109610080718994,4.4175440356484925,142,7,100,8,192.168.1.6,0.06036536693572998,1.1116688573484237
192.168.1.6,103.10.124.118,61412,27058,8,2.821984052658081,2.834884907469497,142,7,100,8,192.168.1.6,0.0940661350886027,1.1116688573484235
192.168.1.6,185.25.183.163,61413,27031,8,3.527650833129883,2.2677981405835617,142,7,100,8,192.168.1.6,0.11758836110432942,1.1116688573484235
192.168.1.6,155.133.227.35,61414,27031,8,1.913398027420044,4.181043298548242,142,7,100,8,192.168.1.6,0.0637799342473348,1.1116688573484235
192.168.1.6,162.254.197.44,61415,27018,8,1.8130590915679932,4.412432025633173,142,7,100,8,192.168.1.6,0.06043530305226644,1.1116688573484235
192.168.1.6,103.10.125.41,61416,27030,8,2.21583890914917,3.6103707570835155,142,7,100,8,192.168.1.6,0.073861296971639,1.1116688573484235
192.168.1.6,155.133.252.88,61417,27051,8,1.9131429195404053,4.181600819410733,142,7,100,8,192.168.1.6,0.06377143065134684,1.1116688573484235
192.168.1.6,103.28.54.167,61418,27032,8,2.720834970474243,2.940273881662729,142,7,100,8,192.168.1.6,0.0906944990158081,1.1116688573484235
192.168.1.6,162.254.193.77,61419,27040,8,0.9082989692687988,8.807672661392736,142,7,100,8,192.168.1.6,0.03027663230895996,1.1116688573484235
192.168.1.6,155.133.238.178,61420,27047,8,2.921658992767334,2.7381703408249463,142,7,100,8,192.168.1.6,0.09738863309224446,1.1116688573484235
192.168.1.6,162.254.194.55,61421,27031,8,0.8073410987854004,9.909070666705254,142,7,100,8,192.168.1.6,0.026911369959513345,1.1116688573484235
192.168.1.6,162.254.199.179,61422,27042,8,0.8071630001068115,9.91125708059136,142,7,100,8,192.168.1.6,0.026905433336893717,1.1116688573484235
192.168.1.6,162.254.195.72,61423,27041,8,0.8072547912597656,9.910130093518006,142,7,100,8,192.168.1.6,0.026908493041992186,1.1116688573484235
192.168.1.6,205.196.6.212,61424,27044,8,0.9072740077972412,8.8176228253503,142,7,100,8,192.168.1.6,0.03024246692657471,1.1116688573484235
192.168.1.6,162.254.192.73,61425,27036,8,0.706244945526123,11.32751469681717,142,7,100,8,192.168.1.6,0.0235414981842041,1.1116688573484235
192.168.1.6,155.133.244.35,61428,27032,8,1.8119280338287354,4.415186392969162,142,7,100,8,192.168.1.6,0.06039760112762451,1.1116688573484235
192.168.1.6,188.42.106.164,61429,27062,8,1.4091548919677734,5.677161570811164,142,7,100,8,192.168.1.6,0.046971829732259114,1.1116688573484235
192.168.1.6,162.254.196.82,61430,27034,8,1.3085761070251465,6.113515260634562,142,7,100,8,192.168.1.6,0.043619203567504886,1.1116688573484235
192.168.1.6,155.133.246.39,61431,27053,8,1.6101679801940918,4.968425716076946,142,7,100,8,192.168.1.6,0.053672266006469724,1.1116688573484235
192.168.1.6,185.25.182.19,61432,27059,8,1.609915018081665,4.9692063929763215,142,7,100,8,192.168.1.6,0.0536638339360555,1.1116688573484235
192.168.1.6,155.133.248.41,61433,27019,8,1.7109031677246094,4.675892914874594,142,7,100,8,192.168.1.6,0.057030105590820314,1.1116688573484235
192.168.1.6,146.66.155.73,61434,27048,8,1.7107899188995361,4.676202444041751,142,7,100,8,192.168.1.6,0.05702633062998454,1.1116688573484235
